"","PREC","TEMP","WIND_SPEED","RH","y"
"8126",0,293.85,0.5,92.1,"neg"
"8655",0,270.25,0.4,88.3,"neg"
"5967",0,262.35,5.7,74.7,"neg"
"7017",0,288.45,5.5,97.9,"neg"
"9416",2,292.55,0.1,91.7,"neg"
"4899",2.5,298.45,3.8,91.9,"neg"
"5645",0,292.95,0.4,92.4,"neg"
"6251",0,289.35,4.9,98.1,"neg"
"8265",0,291.25,0.5,93.7,"neg"
"4888",0,291.75,2.6,96.9,"neg"
"5210",0,279.75,1.8,98,"neg"
"9191",0,300.25,0.8,85.6,"neg"
"7219",0,273.25,0.4,91.5,"neg"
"7639",0.4,291.45,6.5,95,"neg"
"7933",0,275.85,0.5,93.7,"neg"
"7746",0,278.35,1.2,96.5,"neg"
"5661",0.5,285.25,1.1,96.9,"neg"
"7266",0,279.85,0.2,94.5,"neg"
"4752",0,290.15,1.2,95.6,"neg"
"7476",1.5,278.95,6.7,95.8,"neg"
"5372",0,282.75,1.5,97.7,"neg"
"4756",0,288.35,0.1,93.7,"neg"
"5192",0,289.75,1.3,95.9,"neg"
"8480",0,288.65,1.1,95.9,"neg"
"6586",0,275.75,2.6,97.2,"neg"
"8057",0,293.45,3.1,95.9,"neg"
"6044",0,273.35,0.4,91.2,"neg"
"8135",0,267.85,0.5,84.1,"neg"
"8024",0,276.35,3.5,98,"neg"
"9181",0.3,292.95,1.9,95,"neg"
"7318",0.1,295.05,1.1,92,"neg"
"8018",0,270.45,6.9,23.2,"neg"
"9331",0,279.85,1.7,13,"neg"
"6831",0,270.05,1.3,89.8,"neg"
"6934",0,284.05,1.9,11.2,"neg"
"5150",0.5,294.25,2.2,94.4,"neg"
"8016",0,299.35,0.4,85,"neg"
"8134",0,283.95,3,99,"neg"
"9226",0,288.15,0.9,95.4,"neg"
"7706",0,262.65,0.4,63.5,"neg"
"8191",0,292.05,0.5,92.6,"neg"
"8066",0,269.15,0.1,84.6,"neg"
"9322",0,281.65,1.3,96.9,"neg"
"5365",0,275.15,1,93.9,"neg"
"6472",0.5,290.95,1.7,95.6,"neg"
"6085",0,267.85,0.1,82,"neg"
"5471",0,293.15,2.6,95.4,"neg"
"5827",0,295.15,1.4,92.2,"neg"
"5831",0,279.75,0.6,94.9,"neg"
"9239",0,294.75,2,93.5,"neg"
"8658",0,268.55,0.5,84.8,"neg"
"5009",0,271.25,0.1,87.4,"neg"
"8076",0,293.75,1.1,92.6,"neg"
"9210",0,293.25,2.3,94.9,"neg"
"8037",0,296.85,1.2,90,"neg"
"6197",0,284.75,0.8,95.6,"neg"
"7059",0,296.05,8.8,83,"neg"
"9047",0,292.85,3.9,95.9,"neg"
"6979",0,281.85,0.5,94.8,"neg"
"9094",0,278.35,1.1,95.4,"neg"
"6178",0,291.05,0.2,91.9,"neg"
"5094",0,307.35,1,62.3,"neg"
"7455",0,293.05,0.5,91.4,"neg"
"8865",0,271.85,2.3,19.7,"neg"
"5906",0,292.45,0.5,91.8,"neg"
"5630",0,299.35,0.9,85.8,"neg"
"6212",0,286.95,0.4,94,"neg"
"5988",2,288.05,1.4,95.7,"neg"
"6340",0,291.85,5.3,95.5,"neg"
"8775",0,304.05,1.6,28.9,"neg"
"9320",0,299.75,2.4,88.3,"neg"
"6405",0,279.05,0.5,94,"neg"
"7861",0,300.95,1.5,84.7,"neg"
"5385",0,280.75,3.1,98.4,"neg"
"7517",0.5,289.05,0.3,92.9,"neg"
"5377",0,290.95,0.9,93.5,"neg"
"5624",0,292.65,0.3,90.9,"neg"
"9243",0,266.95,1,82.6,"neg"
"6368",0,282.15,0.2,93.7,"neg"
"7646",0,292.45,4,95.8,"neg"
"6544",0,278.25,0.5,93.6,"neg"
"7664",0.5,294.75,0.6,90,"neg"
"5751",0.5,293.85,2.3,94,"neg"
"6096",0.5,275.05,4.1,96.4,"neg"
"7730",0,296.25,2.4,92.1,"neg"
"6138",0,287.25,3.3,97.8,"neg"
"9184",2.5,289.65,3.2,96.7,"neg"
"6783",0.5,293.55,4.2,94.9,"neg"
"9681",0,285.45,0.2,93.4,"neg"
"5072",0,287.75,3.3,97.6,"neg"
"5248",0,263.85,0.9,72.1,"neg"
"8862",0,282.65,1.1,95.7,"neg"
"6902",0,299.75,0.9,84.6,"neg"
"7019",4.5,294.05,1.2,91,"neg"
"4906",0,268.75,1.4,86.8,"neg"
"7243",0,303.85,3.8,81.4,"neg"
"5773",0,269.75,2.3,90,"neg"
"6507",0.5,288.15,0.2,92.6,"neg"
"4863",0,299.15,1.1,86,"neg"
"9040",0,284.95,1.3,95.9,"neg"
"9531",0.5,270.75,1.6,90,"neg"
"8323",0,300.65,4.8,86.9,"neg"
"5893",0,269.25,0.3,84,"neg"
"8786",0,264.95,0.4,73.3,"neg"
"6125",0,291.65,0.3,91.1,"neg"
"5177",0,287.55,0.5,93.5,"neg"
"9613",0,289.85,7.5,91.7,"neg"
"9474",3,291.15,3.6,95.8,"neg"
"6646",0,284.15,0.2,93.3,"neg"
"4824",0,294.45,4.8,93.7,"neg"
"7479",0,303.25,3.3,82.3,"neg"
"5121",0,300.85,6.7,82.7,"neg"
"5996",0,273.15,0.2,88.7,"neg"
"7823",0,295.35,2.5,92.6,"neg"
"6461",0,293.95,1.2,91.6,"neg"
"8000",0,289.05,0.7,93.3,"neg"
"5476",0,299.35,1.7,86.8,"neg"
"9030",0,291.85,0.5,91.3,"neg"
"7081",0.5,292.15,0.4,90.8,"neg"
"6775",0,295.15,2,92,"neg"
"6071",0,269.75,1,86.8,"neg"
"8228",0,299.95,1.4,85.1,"neg"
"8888",0,278.45,9,86.1,"neg"
"7361",0,284.35,0.5,93.8,"neg"
"8864",0.1,295.45,4,93,"neg"
"7044",0,266.35,1.1,80.3,"neg"
"4892",6,285.45,5.8,94.9,"neg"
"6796",0,297.25,2,89.8,"neg"
"6856",0,292.35,5,94.6,"neg"
"6605",1,289.05,0.9,93.5,"neg"
"6296",0,277.25,1.2,94.1,"neg"
"5125",0.1,297.45,1.7,89,"neg"
"8045",0,293.55,1.2,91.6,"neg"
"5744",0,274.65,2.3,94.5,"neg"
"7028",0,291.45,0.2,90.4,"neg"
"9577",0,291.25,0.3,90.8,"neg"
"6426",0,270.85,0.2,85.4,"neg"
"5306",2.5,293.55,4.1,94,"neg"
"8116",0,300.55,2,22.3,"neg"
"9080",1.5,289.25,4.4,96.3,"neg"
"9190",0,266.95,1.1,81.4,"neg"
"7990",0,298.65,0.9,85.3,"neg"
"7536",0,284.65,0.5,93.5,"neg"
"6121",1,276.45,1,93,"neg"
"8118",0,286.55,0.4,92.9,"neg"
"7934",0.5,292.05,1,92,"neg"
"7688",0,288.15,1.3,94.5,"neg"
"4862",0,293.55,2.6,93.6,"neg"
"7058",0,267.35,0.3,78.9,"neg"
"5607",1.5,296.55,1.4,89,"neg"
"8151",0,285.55,0.5,93.3,"neg"
"6723",0,297.85,1.5,87.8,"neg"
"9176",0,300.85,0.8,81.1,"neg"
"7799",0,266.05,8.3,68.7,"neg"
"5335",0,264.75,0.1,67.2,"neg"
"7538",0,287.15,5.7,95.7,"neg"
"7154",0,286.85,0.8,93.7,"neg"
"7251",0,284.65,0.3,92.8,"neg"
"8336",0,281.05,0.5,93.2,"neg"
"4889",0,286.75,1.4,94.9,"neg"
"8009",0,274.65,2.5,94.4,"neg"
"5715",0,269.65,0.3,83.4,"neg"
"9554",0,300.45,2.5,85.7,"neg"
"7974",1.5,286.45,1,94,"neg"
"9063",0,265.45,0.9,38.7,"neg"
"6237",0,286.35,1.7,95.4,"neg"
"7814",0,301.15,5,84.6,"neg"
"6231",0,299.75,0.5,81.6,"neg"
"7745",0,288.65,0.7,92.6,"neg"
"7405",0,302.85,1.2,77.5,"neg"
"8714",0,277.25,0.5,91.7,"neg"
"4810",0,276.55,2.7,95.6,"neg"
"6395",0,298.35,3.5,89.3,"neg"
"9255",0,276.95,4,15.3,"neg"
"7051",0,284.55,1.6,95.4,"neg"
"5795",0,290.55,8.5,86.7,"neg"
"7199",0,284.85,1.3,94.8,"neg"
"8385",0,295.45,1.8,90.5,"neg"
"6676",0,282.15,4.3,97.2,"neg"
"5709",2,295.55,1.8,90.2,"neg"
"9586",0,292.15,5.8,93,"neg"
"6309",0,295.35,0.3,86.7,"neg"
"9716",0,294.95,2.6,92,"neg"
"5865",0,271.65,0.1,85.2,"neg"
"7809",0,289.05,6.1,94,"neg"
"9029",0,290.15,0.1,90,"neg"
"9282",0,304.05,1.9,31.3,"neg"
"4976",0,283.95,1.6,95.3,"neg"
"7649",0,302.55,0.9,76.7,"neg"
"5141",0,301.85,1.6,80.7,"neg"
"9127",0,306.25,1.7,40.6,"neg"
"6260",0.5,282.45,2.7,96.7,"neg"
"8995",3.5,282.55,1.1,93.8,"neg"
"8497",0,290.95,0.7,91.2,"neg"
"7659",0,301.15,3.4,22.6,"neg"
"7370",0,305.85,1.3,40.8,"neg"
"6432",0,298.15,0.8,84.7,"neg"
"6409",0,301.35,0.4,77.3,"neg"
"5835",0,291.55,1.3,92.2,"neg"
"7584",0,298.95,1,84.1,"neg"
"6391",0,268.65,0.1,79.7,"neg"
"8679",0.5,288.95,0.7,92.1,"neg"
"9312",0.5,292.15,1.4,92,"neg"
"6878",0,277.35,1.3,93.4,"neg"
"7298",0,295.65,1.5,89.4,"neg"
"8850",1.5,288.05,4.4,95.9,"neg"
"6033",0,280.45,1.7,95.1,"neg"
"8161",0,294.65,1,89.1,"neg"
"5790",0,264.55,1.7,40,"neg"
"8019",0,266.75,5,82.7,"neg"
"5675",0,300.95,1,80.3,"neg"
"7009",0,297.55,0.4,83.9,"neg"
"9443",0.5,290.15,3.6,95.2,"neg"
"8197",0,265.85,4.7,32.5,"neg"
"6833",0,281.25,1,93.7,"neg"
"9693",0,307.25,2.1,60.2,"neg"
"4973",0,269.15,2,27.1,"neg"
"7564",0,294.95,0.9,88.4,"neg"
"7388",0,294.55,0.2,86.6,"neg"
"9377",3,280.25,3.3,96.2,"neg"
"5479",0,273.85,1.4,91,"neg"
"4956",0,285.65,1.2,93.9,"neg"
"9462",0,271.15,3.5,22.3,"neg"
"5867",1,283.85,6.7,93.4,"neg"
"7889",0,285.85,0.4,91.9,"neg"
"8426",0.5,293.25,5.6,92,"neg"
"6427",0,294.25,3.6,92.6,"neg"
"7768",0,299.65,1.3,83.3,"neg"
"8111",0,295.45,0.5,86.5,"neg"
"5563",0,271.75,3.8,21.5,"neg"
"8351",0.7,291.95,2.2,93,"neg"
"7916",0,285.15,0.7,92.7,"neg"
"7002",0,306.65,1.4,58,"neg"
"4977",0,294.85,1.3,89.2,"neg"
"6718",0,279.65,0.1,90.5,"neg"
"5426",1.5,286.45,0.6,92,"neg"
"5183",0,263.55,2.8,72.3,"neg"
"6450",0,274.45,0.1,87.4,"neg"
"8430",1.5,289.85,3.8,94.9,"neg"
"6950",4.5,288.05,2.3,94,"neg"
"5143",0,286.45,0.7,92.3,"neg"
"6389",0,305.65,0.7,58.9,"neg"
"8653",0,307.15,1.9,53.8,"neg"
"8486",0,278.65,0.5,91.3,"neg"
"6557",0,300.55,1.3,81.3,"neg"
"9627",0,300.45,2.2,83.7,"neg"
"5689",0,289.05,2.1,94.1,"neg"
"8715",1.5,281.35,0.9,92.9,"neg"
"7973",0,285.25,0.1,90.7,"neg"
"5423",0,289.95,1.4,92.5,"neg"
"7094",0,292.35,1.2,90.7,"neg"
"6601",0,293.45,1.2,89.9,"neg"
"8555",0,281.05,0.6,92.1,"neg"
"8840",0.5,283.35,3.1,96.2,"neg"
"5109",0,306.55,2.6,65.6,"neg"
"5788",0,305.25,1.1,65.4,"neg"
"7918",0,291.95,0.8,89.9,"neg"
"8417",1,278.55,2.9,95.5,"neg"
"8690",0,279.55,3.5,96.1,"neg"
"7446",0,285.55,0.2,90.8,"neg"
"5352",0,285.65,9,23.4,"neg"
"5475",0,272.35,0.2,85.1,"neg"
"9012",2.5,280.25,4.7,95.5,"neg"
"7114",0,298.65,1.6,85,"neg"
"7326",0,287.05,0.2,90.4,"neg"
"5932",0,272.55,0.2,85.3,"neg"
"9200",0,295.25,1.2,88.1,"neg"
"7404",0,273.05,2.3,91.3,"neg"
"7938",0,273.45,0.5,87.4,"neg"
"7569",0,303.95,6.3,34.6,"neg"
"8056",0,292.85,2.1,91.8,"neg"
"8482",0,306.55,1.8,46.9,"neg"
"7667",0,285.85,1.3,93.4,"neg"
"7531",0,267.35,3.3,30.2,"neg"
"5401",0,291.05,1.7,92.2,"neg"
"5731",0,277.65,0.3,89.8,"neg"
"6766",0,284.35,0.7,92.2,"neg"
"4994",0,280.25,2.1,94.8,"neg"
"8041",0,281.25,1.6,94.1,"neg"
"6503",0,304.55,2.4,34.1,"neg"
"9144",0,306.45,2.1,62.7,"neg"
"7894",0,282.15,0.5,91.6,"neg"
"6990",0,286.85,0.6,91.4,"neg"
"4944",0,266.65,0.3,72.5,"neg"
"4998",0,298.05,2.1,86.6,"neg"
"9680",0,273.85,0.5,87.5,"neg"
"9407",0.1,269.75,4.9,87,"neg"
"9180",0,290.45,1.1,91.1,"neg"
"7593",0.4,286.85,0.5,91,"neg"
"6089",0,297.05,0.3,82.7,"neg"
"6953",0,275.15,0.8,89.5,"neg"
"9694",0,287.45,1.9,93.8,"neg"
"8883",0,281.55,0.7,91.9,"neg"
"8337",0,294.95,1.7,89.1,"neg"
"5638",0,293.35,0.8,88.3,"neg"
"9344",3,275.55,0.4,88,"neg"
"5778",0,267.25,0.9,77.5,"neg"
"8977",0,291.85,1.3,90.6,"neg"
"7070",0,273.55,1.2,89.1,"neg"
"7993",0,285.75,0.1,89.9,"neg"
"8139",0,276.15,3.1,94.2,"neg"
"5333",0,292.45,0.2,87,"neg"
"5657",0,295.55,1.2,87.2,"neg"
"9272",0,296.45,1.4,86.7,"neg"
"9050",0,301.85,2.6,80.4,"neg"
"6466",0.5,287.75,1.5,92.8,"neg"
"7656",0,269.45,0.4,80.3,"neg"
"5066",0,287.95,2.1,93.7,"neg"
"7700",0,303.95,2.1,33.8,"neg"
"8664",0,289.65,0.5,89.6,"neg"
"9729",0,297.75,1,83.8,"neg"
"8858",0,299.35,3.5,85.8,"neg"
"6383",0,305.05,1.9,68.3,"neg"
"9677",0,283.55,3,95.4,"neg"
"5809",0,279.65,1.1,92.2,"neg"
"5528",0,296.25,1.6,87.2,"neg"
"8588",0,283.65,4.6,95.3,"neg"
"7513",0,303.25,2,75.1,"neg"
"4775",0,282.25,1.3,93,"neg"
"7050",0,290.55,1,90.3,"neg"
"5752",0,295.05,2.6,90,"neg"
"8979",0,272.75,0.2,84.5,"neg"
"7713",0,301.85,1,75.4,"neg"
"5757",0,285.05,1.9,93.9,"neg"
"6263",0,297.45,1.9,86.3,"neg"
"6738",0,277.95,1.7,92.8,"neg"
"5474",0,288.25,0.1,88.7,"neg"
"6015",0,277.25,1.1,91.1,"neg"
"5407",0,283.05,1.4,93.1,"neg"
"6434",0,279.45,0.7,90.9,"neg"
"8092",0,290.65,0.3,88.1,"neg"
"9313",0,272.15,0.1,83.1,"neg"
"4987",0,295.25,0.9,86.2,"neg"
"9495",0,268.85,6.7,80.1,"neg"
"5806",0.5,276.25,0.8,89.6,"neg"
"7218",0,281.95,0.1,89.5,"neg"
"6035",0,276.75,1.1,90.7,"neg"
"6528",0,291.05,1.5,90.9,"neg"
"9192",0,292.95,0.1,85.6,"neg"
"9090",0,263.45,2.4,64.8,"neg"
"9390",0,268.75,1,80.5,"neg"
"8250",4,287.05,4.9,93.5,"neg"
"6587",0,281.15,0.9,91.6,"neg"
"9178",0,275.45,0.3,87.2,"neg"
"9436",0,286.45,1.6,92.8,"neg"
"7903",0,301.05,1,76.8,"neg"
"8264",0,289.25,0.5,89.2,"neg"
"7556",0,276.75,0.8,89.7,"neg"
"8219",0,289.55,2.3,92.8,"neg"
"6492",2.5,276.65,0.9,89.6,"neg"
"8580",1.5,281.95,0.7,91,"neg"
"6343",0,296.75,1.7,86.3,"neg"
"5281",0,292.55,0.6,87.4,"neg"
"6713",0,273.15,0.1,84,"neg"
"8255",0,291.55,0.7,88.4,"neg"
"9553",0,305.05,4.3,36.7,"neg"
"7090",0.5,294.25,6.1,88.4,"neg"
"7822",0,268.55,0.6,77.9,"neg"
"8623",0.6,283.25,0.7,91,"neg"
"4929",0,292.35,5.9,90.2,"neg"
"7339",0,302.75,1.2,72.5,"neg"
"7087",0,282.65,0.9,91.5,"neg"
"9541",0,298.45,1.8,84,"neg"
"5514",0.7,288.75,1.7,92,"neg"
"5130",0,282.05,0.7,90.9,"neg"
"6445",0.5,293.25,2.7,90.9,"neg"
"6526",0,289.85,2,92,"neg"
"8959",0,291.55,0.1,86.2,"neg"
"4812",0,297.95,5.8,84.7,"neg"
"8991",0,292.95,0.6,86.8,"neg"
"8693",0,290.25,2.4,92.3,"neg"
"9644",0,291.85,4.2,92.2,"neg"
